company_name,siren_number,nic_number,legal_form,ape_code,address,postal_code,city,region,registration_date,deregistration_date,closing_date_2018_1,revenue_2018_1,turnover_2018_1,closing_date_2018_2,revenue_2018_2,turnover_2018_2,closing_date_2018_3,revenue_2018_3,turnover_2018_3,closing_date_2019_1,revenue_2019_1,turnover_2019_1,closing_date_2019_2,revenue_2019_2,turnover_2019_2,closing_date_2019_3,revenue_2019_3,turnover_2019_3,closing_date_2020_1,revenue_2020_1,turnover_2020_1,closing_date_2020_2,revenue_2020_2,turnover_2020_2,closing_date_2020_3,revenue_2020_3,turnover_2020_3,closing_date_2021_1,revenue_2021_1,turnover_2021_1,closing_date_2021_2,revenue_2021_2,turnover_2021_2,closing_date_2021_3,revenue_2021_3,turnover_2021_3,closing_date_2022_1,revenue_2022_1,turnover_2022_1,closing_date_2022_2,revenue_2022_2,turnover_2022_2,closing_date_2022_3,revenue_2022_3,turnover_2022_3,industry_sector,phone_number,website,reviews,schedule,instagram,facebook,twitter,linkedin,youtube,email,scraping_date,siren,dateCreationUniteLegale,dateDernierTraitementUniteLegale,nombrePeriodesUniteLegale,categorieEntreprise
CHAPATI AND TEA,897508917,19.0,Societe a responsabilite limitee,0000Z,11 RUE DES MESANGES,25650.0,GILLEY,Bourgogne-Franche-Comté,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,897508917.0,2021-03-05,2024-05-23T05:18:25,2.0,PME
BPS INTERIM TOULOUSE,879167799,11.0,Societe par actions simplifiee,0000Z,CHEMIN DE LA CAMPAGNE DE BAS,64150.0,MOURENX,Aquitaine-Limousin-Poitou-Charentes,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,879167799.0,2019-11-01,2024-03-22T14:26:06,1.0,ETI
MAS EVENTS,912468915,18.0,Société par actions simplifiée,0000Z,10 CHEMIN RAYMOND FAGES,34300.0,AGDE,Languedoc-Roussillon-Midi-Pyrénées,2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,912468915.0,2022-03-30,2024-03-22T14:26:06,2.0,
GONCALVES 2015,810353953,13.0,Societe a responsabilite limitee,0000Z,59 RUE DU GENERAL LECLERC,95410.0,GROSLAY,,2015-03-23,,2018-06-30,89349.0,4720.0,2017-06-30,59506.0,12405.0,2016-06-30,43958.0,1498.0,2019-06-30,106899.0,22919.0,2018-06-30,89349.0,4720.0,2017-06-30,59506.0,12405.0,2020-06-30,101176.0,16735.0,2019-06-30,106899.0,22919.0,2018-06-30,89349.0,4720.0,2021-06-30,,,2020-06-30,101176.0,16735.0,2019-06-30,106899.0,22919.0,,,,,,,,,,,,,,,,,,,,,,810353953.0,2015-03-23,2024-07-12T05:16:49,2.0,PME
NAKATA PART DIEU,841096894,16.0,Societe a responsabilite limitee a associe unique,0000Z,9 RUE DANIELLE FAYNEL DUCLOS,69003.0,LYON,Auvergne-Rhône-Alpes,2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,841096894.0,2018-07-13,2024-03-22T14:26:06,3.0,PME
MaPlage,841085855,10.0,Societe par actions simplifiee,0000Z,23 RUE EDOUARD NIEUPORT,92150.0,SURESNES,Ile-de-France,2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,841085855.0,2018-07-16,2024-03-22T14:26:06,5.0,PME
CINE GRAND SUD,850151358,23.0,Societe par actions simplifiee,0000Z,145 AVENUE DU STADE,97460.0,ST PAUL,La Réunion,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,850151358.0,2019-04-15,2024-03-22T14:26:06,3.0,
EQUILIBRE,898953179,14.0,Societe a responsabilite limitee,0000Z,1 RUE DES ROCHES,69700.0,ECHALAS,Auvergne-Rhône-Alpes,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,898953179.0,2021-04-29,2024-07-18T05:20:50,1.0,PME
ALPS ROAD TRIP . FUN,897582714,19.0,Societe a responsabilite limitee,0000Z,LIEU DIT LE PERREY AU LEVANT,73210.0,LANDRY,Auvergne-Rhône-Alpes,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,897582714.0,2021-03-26,2024-03-22T14:26:06,2.0,PME
LES MINIS GLOBE-TROTTEUR,922511811,15.0,Société par actions simplifiée à associé unique,0000Z,4 RUE DES IRIS,25300.0,HOUTAUD,Bourgogne-Franche-Comté,2022-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,922511811.0,2022-12-21,2024-03-22T14:26:06,2.0,
