company_name;siren_number;nic_number;legal_form;ape_code;address;postal_code;city;region;registration_date;deregistration_date;closing_date_2018_1;revenue_2018_1;turnover_2018_1;closing_date_2018_2;revenue_2018_2;turnover_2018_2;closing_date_2018_3;revenue_2018_3;turnover_2018_3;closing_date_2019_1;revenue_2019_1;turnover_2019_1;closing_date_2019_2;revenue_2019_2;turnover_2019_2;closing_date_2019_3;revenue_2019_3;turnover_2019_3;closing_date_2020_1;revenue_2020_1;turnover_2020_1;closing_date_2020_2;revenue_2020_2;turnover_2020_2;closing_date_2020_3;revenue_2020_3;turnover_2020_3;closing_date_2021_1;revenue_2021_1;turnover_2021_1;closing_date_2021_2;revenue_2021_2;turnover_2021_2;closing_date_2021_3;revenue_2021_3;turnover_2021_3;closing_date_2022_1;revenue_2022_1;turnover_2022_1;closing_date_2022_2;revenue_2022_2;turnover_2022_2;closing_date_2022_3;revenue_2022_3;turnover_2022_3;industry_sector;phone_number;website;reviews;schedule;instagram;facebook;twitter;linkedin;youtube;email;scraping_date;date_creation;last_processing_date;number_of_employee;company_category
CASA TRANSACTIONS;530929710.0;16.0;Societe par actions simplifiee a associe unique;6810Z;262 RUE PRINCIPALE;67210.0;MEISTRATZHEIM;Alsace-Champagne-Ardenne-Lorraine;2011-03-15;;2018-12-31;109674.0;18002.0;2017-12-31;77283.0;20447.0;2016-12-31;23958.0;362.0;2019-12-31;;;2018-12-31;109674.0;18002.0;2017-12-31;77283.0;20447.0;2020-12-31;105461.0;25606.0;2019-12-31;;;2018-12-31;109674.0;18002.0;2021-12-31;261038.0;106859.0;2020-12-31;105461.0;25606.0;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2011-03-20;2024-03-22T14:26:06;2.0;PME
SPORNOR;531011385.0;14.0;Societe a responsabilite limitee a associe unique;9312Z;35 AVENUE NATIONALE;51100.0;REIMS;Alsace-Champagne-Ardenne-Lorraine;2011-03-16;;2018-03-31;;;2017-03-31;;;2016-03-31;;;2019-03-31;;;2018-03-31;;;2017-03-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011-03-10;2024-03-22T14:26:06;2.0;PME
CREA PLV;531530319.0;15.0;Societe a responsabilite limitee;7311Z;75 B RUE DU CHATEAU;67210.0;VALFF;Alsace-Champagne-Ardenne-Lorraine;2011-04-11;;2018-06-30;;;2017-06-30;;;2016-06-30;;;2019-06-30;;;2018-06-30;;;2017-06-30;;;2020-06-30;;;2019-06-30;;;2018-06-30;;;2021-06-30;;;2020-06-30;;;2019-06-30;;;2022-06-30;;;2021-06-30;;;2020-06-30;;;;;;;;;;;;;;;2011-04-01;2024-03-22T14:26:06;2.0;PME
PLF;531537355.0;12.0;Societe a responsabilite limitee;4520A;140 AVENUE FRANCIS TONNER;6150.0;CANNES;Provence-Alpes-Côte d'Azur;2011-04-06;;2018-12-31;;;2017-12-31;126647.0;9653.0;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;126647.0;9653.0;;;;;;;;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2011-04-01;2024-03-22T14:26:06;2.0;PME
TRANSPORT EWNA;531612521.0;17.0;Societe a responsabilite limitee a associe unique;4941B;2 ROUTE DE STOTZHEIM;67140.0;ZELLWILLER;Alsace-Champagne-Ardenne-Lorraine;2011-04-12;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;;;;;;;;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2011-03-01;2024-03-22T14:26:06;1.0;PME
SJE;532231131.0;14.0;Societe a responsabilite limitee;6831Z;34 RUE DES ARAWAKS;97223.0;LE DIAMANT;Martinique;2011-06-16;;2018-06-30;;;2017-06-30;;;2016-06-30;;;2019-06-30;;;2018-06-30;;;2017-06-30;;;2020-06-30;;;2019-06-30;;;2018-06-30;;;2021-06-30;;;2020-06-30;;;2019-06-30;;;2022-06-30;;;2021-06-30;;;2020-06-30;;;;;;;;;;;;;;;2011-04-07;2024-03-22T14:26:06;3.0;PME
CONVECTOR EXPRESS;532700234.0;18.0;Societe a responsabilite limitee a associe unique;4941B;48 RUE DE COSSWILLER;67310.0;WASSELONNE;Alsace-Champagne-Ardenne-Lorraine;2011-06-09;;2018-06-30;;;2017-06-30;;;2016-06-30;349522.0;9718.0;;;;;;;;;;2020-06-30;;;2019-06-30;;;2018-06-30;;;2021-06-30;;;2020-06-30;;;2019-06-30;;;2022-06-30;;;2021-06-30;;;2020-06-30;;;;;;;;;;;;;;;2011-06-01;2024-03-22T14:26:06;3.0;PME
G SERVICES - GILLES HERTER;533280434.0;10.0;Societe a responsabilite limitee a associe unique;4322B;18 RUE DU STADE;67530.0;BOERSCH;Alsace-Champagne-Ardenne-Lorraine;2011-07-01;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2011-07-01;2024-03-22T14:26:06;1.0;PME
MARMOUTIER COIFFURES;533545109.0;19.0;Societe a responsabilite limitee a associe unique;9602A;4 RUE DE SAVERNE;67440.0;MARMOUTIER;Alsace-Champagne-Ardenne-Lorraine;2011-07-15;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011-01-01;2024-03-22T14:26:06;2.0;PME
LBSH;534137823.0;25.0;Societe a responsabilite limitee a associe unique;6420Z;53 RUE PRINCIPALE;67210.0;NIEDERNAI;Alsace-Champagne-Ardenne-Lorraine;2014-11-03;;2018-12-31;;;2017-12-31;;;2016-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011-07-08;2024-03-22T14:26:06;3.0;
